14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,14,15
14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,14,15
14,15,960,961,960,993,960,992,992,960,961,992,961,961,961,960,961,992,961,993,960,993,960,992,960,992,992,961,993,14,15
14,15,961,961,992,992,960,961,992,960,993,961,993,960,993,960,960,992,993,960,993,993,993,960,992,993,993,961,960,14,15
14,15,960,992,992,960,992,961,993,992,961,993,993,992,960,992,992,993,960,961,961,961,961,960,960,961,961,961,960,14,15
14,15,993,993,993,993,993,960,14,961,993,961,992,960,961,961,961,992,992,961,961,992,993,961,993,960,960,960,961,14,15
14,15,961,993,961,961,960,960,15,960,961,993,992,993,961,993,992,992,993,961,961,960,961,960,993,961,961,961,992,14,15
14,15,961,960,960,992,992,993,15,961,992,992,961,960,961,992,993,992,992,993,992,993,993,993,961,992,960,992,961,14,15
14,15,992,992,960,960,992,992,14,960,960,992,993,960,992,993,961,992,993,961,992,961,961,960,992,992,961,961,961,14,15
14,15,992,15,14,15,961,993,14,993,993,993,992,992,992,961,961,993,992,960,960,993,992,961,961,960,992,961,992,14,15
14,15,993,15,993,961,961,961,961,961,960,992,960,992,992,960,960,992,993,993,961,960,961,992,961,992,960,993,993,14,15
14,15,960,14,992,14,15,14,14,993,960,961,992,992,961,992,961,960,992,993,960,961,960,993,961,993,992,993,992,14,15
14,15,960,14,993,960,993,993,992,992,960,992,993,961,960,960,993,993,992,961,961,993,992,960,992,993,961,961,961,14,15
14,15,993,14,960,14,14,14,15,15,960,961,993,46,47,960,46,47,992,961,960,960,993,961,960,992,961,961,960,14,15
14,15,961,961,960,992,14,961,992,992,992,993,961,46,993,992,992,46,993,961,960,992,961,992,993,960,960,961,993,14,15
14,15,992,15,14,992,14,992,961,993,992,960,960,992,992,961,993,992,992,961,961,960,993,992,992,960,992,960,993,14,15
14,15,961,992,14,960,15,992,960,993,960,960,993,46,992,992,961,46,961,992,961,961,992,992,960,993,960,961,992,14,15
14,15,993,961,14,993,993,960,961,992,960,993,993,46,47,993,46,46,960,960,992,992,992,992,992,993,992,992,961,14,15
14,15,992,960,960,960,993,961,992,960,960,992,993,960,992,961,961,993,992,993,960,960,961,992,960,992,960,993,993,14,15
14,15,961,993,993,961,961,992,960,992,961,993,992,961,993,993,960,993,992,960,961,992,992,961,992,961,993,960,992,14,15
14,15,961,961,960,992,961,992,960,961,992,960,960,993,992,993,992,960,960,993,993,960,993,992,992,993,992,992,992,14,15
14,15,992,960,961,993,992,992,961,960,992,992,992,993,992,993,993,961,961,992,961,961,992,993,960,960,961,993,992,14,15
14,15,960,960,993,993,960,992,960,992,993,961,960,961,961,993,961,960,961,960,993,992,993,992,961,960,961,993,992,14,15
14,15,993,993,992,993,993,961,992,961,960,961,960,961,993,960,992,961,993,992,960,993,961,961,992,961,992,993,993,14,15
14,15,993,961,992,993,992,992,992,993,992,960,961,993,993,961,961,961,960,960,960,960,993,960,961,993,960,993,993,14,15
14,15,961,992,993,993,993,960,992,992,992,960,960,993,960,992,961,992,960,961,961,993,960,961,961,961,992,992,993,14,15
14,15,960,960,993,960,961,961,993,992,993,993,992,992,960,992,993,992,992,960,960,960,992,993,961,992,992,992,960,14,15
14,15,960,993,992,993,961,960,960,961,992,961,992,992,993,992,961,961,993,992,993,961,992,993,961,992,961,993,961,14,15
14,15,992,993,993,961,993,960,960,960,961,961,961,993,993,993,992,960,961,993,992,960,961,961,992,992,993,993,992,14,15
14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,15
14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,15
